400,110,0,2820,0.00014124775,0.0006056331,1
420,140,0,2680,5.85676e-11,0.000936796,1
540,270,420,2680,3.89856e-10,0.005975008,1
110,100,960,2850,0.003031535625,0.0002660266,1
110,100,1070,2850,0.0265153125,0.001928505,1
490,500,960,2350,0.02444703125,0.0132097,1
50,200,1450,2520,0.004117331875,0.0005140365,1
70,50,1500,2520,0.002740901875,0.001431857,1
160,170,1450,2350,0.006039230625,0.00136814,1
220,50,1610,2460,0.003456833125,0.001107107,1
220,110,1610,2350,3.46511e-10,0.002986832,1
1950,2960,1840,0,0.4115178625,1.0093553,1
940,330,0,2350,0.0123814,0.0665877,1
1840,1410,0,940,0.001286606688,0.1576914,1
110,920,0,0,6.56047e-10,0.01152896,1
1730,940,110,0,0.17348925,0.029709575,1
